STATE,state,state_po,year,special,stage,share_dem,share_rep,pres_aprov,pres_disapp,pres_unsure,pres_party,party_pres_dem,inflation_rate,Annual Change,right_abortion,abortion_issue,poll_dem,poll_rep,poll_favor_dem,,
Utah,UTAH,UT,2018,FALSE,gen,33.0605,66.9395,39,55,6,republican,0,2.4426,0.31,No,1,28.04878049,71.95121951,0,,
North Dakota,NORTH DAKOTA,ND,2016,FALSE,gen,17.7777,82.2223,56,42,2,democrat,1,1.2616,1.14,No,1,23.71134021,76.28865979,0,,
Utah,UTAH,UT,2016,FALSE,gen,28.4215,71.5785,56,42,2,democrat,1,1.2616,1.14,No,1,25,75,0,,
Idaho,IDAHO,ID,2016,FALSE,gen,29.5401,70.4599,56,42,2,democrat,1,1.2616,1.14,No,1,29.62962963,70.37037037,0,,
Idaho,IDAHO,ID,2020,FALSE,gen,34.6792,65.3208,43,55,2,republican,0,1.2336,-0.58,No,1,34.18845585,65.81154415,0,,
Oklahoma,OKLAHOMA,OK,2016,FALSE,gen,26.6240,73.3760,56,42,2,democrat,1,1.2616,1.14,No,1,30.20833333,69.79166667,0,,
South Dakota,SOUTH DAKOTA,SD,2016,FALSE,gen,28.1721,71.8279,56,42,2,democrat,1,1.2616,1.14,No,1,32.29166667,67.70833333,0,,
Louisiana,LOUISIANA,LA,2020,FALSE,gen,36.5809,63.4191,43,55,2,republican,0,1.2336,-0.58,No,1,38.82352941,61.17647059,0,,
Alaska,ALASKA,AK,2016,FALSE,gen,20.7630,79.2370,56,42,2,democrat,1,1.2616,1.14,Yes,0,37.5,62.5,0,,
Louisiana,LOUISIANA,LA,2016,FALSE,gen,36.2652,63.7348,56,42,2,democrat,1,1.2616,1.14,No,1,37.07865169,62.92134831,0,,
Oklahoma,OKLAHOMA,OK,2020,FALSE,gen,34.2375,65.7625,43,55,2,republican,0,1.2336,-0.58,No,1,39.54983923,60.45016077,0,,
Kansas,KANSAS,KS,2016,FALSE,gen,34.1457,65.8543,56,42,2,democrat,1,1.2616,1.14,Yes,0,38.54166667,61.45833333,0,,
Alabama,ALABAMA,AL,2016,FALSE,gen,35.9298,64.0702,56,42,2,democrat,1,1.2616,1.14,No,1,40,60,0,,
South Carolina,SOUTH CAROLINA,SC,2016,FALSE,gen,36.2018,63.7982,56,42,2,democrat,1,1.2616,1.14,No,1,39.17525773,60.82474227,0,,
Iowa,IOWA,IA,2016,FALSE,gen,37.2397,62.7603,56,42,2,democrat,1,1.2616,1.14,No,1,40.625,59.375,0,,
Ohio,OHIO,OH,2016,FALSE,gen,39.0366,60.9634,56,42,2,democrat,1,1.2616,1.14,No,1,40.625,59.375,0,,
Arizona,ARIZONA,AZ,2016,FALSE,gen,43.1302,56.8698,56,42,2,democrat,1,1.2616,1.14,No,1,43.15789474,56.84210526,0,,
